web-scraper-order,web-scraper-start-url,price,title,availability
"1612388405-4335","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","5.199,90lei","Laptop 2 in 1 MICROSOFT Surface Pro 7, Intel Core i5-1035G4 pana la 3.7GHz, 12.3"" Touch, 8GB, SSD 128GB, Intel Iris Plus Graphics, Windows 10 Home, Platinum","In Stoc"
"1612388407-4348","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/3/","7.499,90lei","Laptop Gaming HP Omen 15-ek0013nq, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 16GB, SSD 2 x 256GB, NVIDIA GeForce RTX 2070 Max-Q 8GB, Free DOS, negru","In Stoc"
"1612388379-3837","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","3.499,90lei","Laptop Gaming ASUS TUF FX505DT-BQ180, AMD Ryzen 5 3550H pana la 3.7GHz, 15.6"" Full HD, 8GB, SSD 256GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, Stealth Black","Stoc epuizat"
"1612388405-4325","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/4/","5.499,90lei","Laptop ASUS Zenbook 13 UX325JA-EG037T, Intel Core i7-1065G7 pana la 3.9GHz, 13.3"" Full HD, 16GB, SSD 512GB, Intel Iris Plus Graphics, Windows 10 Home, gri","In Stoc"
"1612388379-3833","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/14/","3.599,90lei","Laptop ASUS M509DA-EJ231, AMD Ryzen 7 3700U pana la 4.0GHz, 15.6"" Full HD, 16GB, SSD 512GB, AMD Radeon RX Vega 10, Free DOS, gri","Stoc epuizat"
"1612388410-4427","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/2/","8.499,90lei","Laptop Gaming HP Omen 15-dh0016nq, Intel Core i7-9750H pana la 4.5GHz, 15.6"" Full HD, 16GB, SSD 512GB + HDD 1TB, NVIDIA GeForce RTX 2070 8GB, Free DOS, negru","In Stoc"
"1612388381-3913","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/13/","3.799,90lei","Laptop Gaming ASUS TUF FX505DT-HN502, AMD Ryzen 5 3550H pana la 3.7GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, Gold Steel","Stoc epuizat"
"1612388389-4014","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/10/","5.799,99lei","Laptop Gaming ASUS TUF F15 FX506LU-HN019, Intel Core i7-10750H pana la 5.0GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1660Ti 6GB, Free DOS, negru","Stoc epuizat"
"1612388410-4419","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/2/","9.099,90lei","Laptop Gaming ASUS ROG Strix G15 G512LWS-AZ035, Intel Core i7-10875H pana la 5.1GHz, 15.6"" Full HD, 32GB, SSD 2x512GB, NVIDIA GeForce RTX 2070 Super 8GB, Free DOS, negru","In Stoc"
"1612388392-4080","https://mediagalaxy.ro/laptopuri/cpl/filtru/p/9/","6.399,90lei","Laptop LENOVO ThinkPad T490, Intel Core i7-8565U pana la 4.6GHz, 14"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics, Windows 10 Pro, negru","Stoc epuizat"
